algorithm_index,min_success0,avg_success0,max_success0,min_success1,avg_success1,max_success1,min_meas_succ,avg_meas_succ,max_meas_succ,min_diff_meas,avg_diff_meas,max_diff_meas,min_abs_diff_meas,avg_abs_diff_meas,max_abs_diff_meas,min_succ_1Q,avg_succ_1Q,max_succ_1Q,min_succ_2Q,avg_succ_2Q,max_succ_2Q,num_hardwares
0,0.5963,0.9424018108108109,1.0,0.5963,0.9424018108108109,1.0,0.5963,0.9424018108108109,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9721543783783786,0.999772,0.0,0.9395919594594592,0.99444,37
1,0.5963,0.9396797101449272,0.9972,0.5963,0.9396797101449272,0.9972,0.5963,0.9396797101449272,0.9972,0.0,0.0,0.0,0.0,0.0,0.0,0.993546,0.9989602826086958,0.999834,0.5,0.9717366847826091,0.994608,138
2,0.5963,0.9464706521739131,0.9972,0.5963,0.9464706521739131,0.9972,0.5963,0.9464706521739131,0.9972,0.0,0.0,0.0,0.0,0.0,0.0,0.994457,0.99900497826087,0.999772,0.5,0.9748193478260866,0.994608,92
3,0.5963,0.9396797101449272,0.9972,0.5963,0.9396797101449272,0.9972,0.5963,0.9396797101449272,0.9972,0.0,0.0,0.0,0.0,0.0,0.0,0.993546,0.9989602826086958,0.999834,0.5,0.9717366847826091,0.994608,138
4,0.5963,0.9464706521739131,0.9972,0.5963,0.9464706521739131,0.9972,0.5963,0.9464706521739131,0.9972,0.0,0.0,0.0,0.0,0.0,0.0,0.994457,0.99900497826087,0.999772,0.5,0.9748193478260866,0.994608,92
5,0.5963,0.9151111333333334,0.9937,0.5963,0.9151111333333334,0.9937,0.5963,0.9151111333333334,0.9937,0.0,0.0,0.0,0.0,0.0,0.0,0.993546,0.9983375999999999,0.999774,0.5,0.9163132666666667,0.992977,15
6,0.5963,0.9260978260869565,0.9952,0.5963,0.9260978260869565,0.9952,0.5963,0.9260978260869565,0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.993546,0.9988708913043479,0.999834,0.5,0.9655713586956519,0.994143,46
7,0.5963,0.9260978260869565,0.9952,0.5963,0.9260978260869565,0.9952,0.5963,0.9260978260869565,0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.993546,0.9988708913043479,0.999834,0.5,0.9655713586956519,0.994143,46
8,0.5975,0.9310500000000002,0.9908,0.5975,0.9310500000000002,0.9908,0.5975,0.9310500000000002,0.9908,0.0,0.0,0.0,0.0,0.0,0.0,0.995593,0.9988800666666666,0.999737,0.5,0.9707122166666668,0.994608,30
9,0.61,0.6825,0.755,0.61,0.6825,0.755,0.61,0.6825,0.755,0.0,0.0,0.0,0.0,0.0,0.0,0.997451,0.9977229999999999,0.997995,0.5,0.71654275,0.953668,2
10,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.997451,0.997451,0.997451,0.5,0.726834,0.953668,1
11,0.61,0.6825,0.755,0.61,0.6825,0.755,0.61,0.6825,0.755,0.0,0.0,0.0,0.0,0.0,0.0,0.997451,0.9977229999999999,0.997995,0.5,0.71654275,0.953668,2
12,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.997451,0.997451,0.997451,0.5,0.726834,0.953668,1
13,0.7381,0.9300055555555554,0.9847,0.7381,0.9300055555555554,0.9847,0.7381,0.9300055555555554,0.9847,0.0,0.0,0.0,0.0,0.0,0.0,0.996003,0.9991675,0.999834,0.929435,0.9798375555555556,0.994143,18
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18,0.773333,0.958701222222222,0.9945,0.773333,0.958701222222222,0.9945,0.773333,0.958701222222222,0.9945,0.0,0.0,0.0,0.0,0.0,0.0,0.994457,0.9988812962962965,0.999724,0.935553,0.982368333333333,0.99444,27
19,0.7255,0.9206237857142858,0.9952,0.7255,0.9206237857142858,0.9952,0.7255,0.9206237857142858,0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.996087,0.998998357142857,0.99969,0.938512,0.9814827857142855,0.992125,14
20,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.0,0.0,0.0,0.0,0.0,0.0,0.997995,0.997995,0.997995,0.5,0.7062515,0.912503,1
21,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.0,0.0,0.0,0.0,0.0,0.0,0.997995,0.997995,0.997995,0.5,0.7062515,0.912503,1
