,experiment,with therm.,method,#hardware,#embeddings,#diff. algorithms,min. acc.,avg. acc.,max. acc.,min. build time,avg. build time,max. build time,min. method time,avg. method time,max. method time,min. total time,avg. total time,max. total time
0,state discrimination of |0> and |+>,no,convex,55,109,195,0.4694,0.62224,0.75,0.00129,0.0068,0.5,0.0,0.00153,0.5,0.0,0.00153,0.5
1,state discrimination of |0> and |+>,yes,convex,55,109,193,0.4694,0.62224,0.75,0.0013,0.00772,0.5,0.0,0.00153,0.5,0.0,0.00153,0.5
2,Bell state from ind. states,no,bellman,45,3317,9,0.28,0.77402,1.0,0.01045,1.14405,4.9925,0.0,6e-05,0.5977,0.0,6e-05,0.5977
3,Bell state from ind. states,no,convex,45,3317,59,0.23333,0.73661,1.0,0.01045,1.14404,4.9925,0.0,5e-05,0.49808,0.0,5e-05,0.49808
4,Bitflip [CXH],no,bellman,45,203,7,0.50097,0.95875,1.0,0.43565,6.99926,38.43304,0.93832,2641.0294,2868.0,0.93832,2641.0294,2868.0
5,Bitflip [IPMA],no,bellman,45,141,22,0.5,0.84523,1.0,0.01102,0.16028,0.885,0.0,261.51349,1074.0,0.0,261.51349,1074.0
6,Bitflip [IPMA2],no,bellman,45,141,22,0.50043,0.93615,1.0,0.0049,0.53427,3.33017,0.0,91.59793,385.0,0.0,91.59793,385.0
7,GHZ,no,bellman,45,1193,12,0.11999,0.91399,1.0,0.39477,8.80895,33.1842,0.0,1.00082,3.0,0.0,1.00082,3.0
8,Reset,no,bellman,55,109,27,0.502,0.93456,1.0,0.00044,0.00373,0.99513,0.0,0.99387,6.0,0.0,0.99387,6.0
9,Reset,no,convex,55,109,116,0.5,0.7733,1.0,0.00066,0.00325,0.5,0.0,0.00153,0.5,0.0,0.00153,0.5
10,Reset,yes,bellman,55,109,15,0.502,0.92604,1.0,0.0004,0.00447,0.98291,0.0,0.00226,0.98291,0.0,0.00226,0.98291
11,Reset,yes,convex,55,109,87,0.5,0.77359,1.0,0.00043,0.0038,0.50032,0.0,0.00153,0.50032,0.0,0.00153,0.50032
